list_no,date,region,kind,title,start,end,max_mw,min_mw,solar_mw,wind_mw,reason,url
73810,2024-11-17,제주,전망,제주 출력제어 전망 안내 [2024년 11월 17일(일)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73810&tag=&nPage=26
73811,2024-11-17,제주,취소/미시행,제주 출력제어 실적 안내 [2024년 11월 17일(일)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73811&tag=&nPage=25
73820,2024-11-18,육지,실적,육지 출력제어 실적 안내 [2024년 11월 18일(월)],12:00,14:00,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73820&tag=&nPage=25
73834,2024-11-22,육지,전망,육지 출력제어 전망 안내 [2024년 11월 22일(금)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73834&tag=&nPage=25
73846,2024-11-22,육지,취소/미시행,육지 출력제어 실적 안내 [2024년 11월 22일(금)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73846&tag=&nPage=25
73847,2024-11-24,육지,전망,육지 출력제어 전망 안내 [2024년 11월 24일(일)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73847&tag=&nPage=25
73849,2024-11-24,육지,취소/미시행,육지 출력제어 실적 안내 [2024년 11월 24일(일)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73849&tag=&nPage=25
73909,2024-12-04,육지,실적,육지 출력제어 실적 안내 [2024년 12월 4일(수)],12:00,13:00,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73909&tag=&nPage=25
73932,,육지,실적,육지 출력제어 11월 실적 안내,,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73932&tag=&nPage=25
73933,,제주,실적,제주 출력제어 11월 실적 안내,,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=73933&tag=&nPage=25
74036,2025-01-01,육지,전망,육지 출력제어 전망 안내 [2025년 1월 1일(수)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74036&tag=&nPage=25
74093,2025-01-01,육지,취소/미시행,육지 출력제어 실적 안내 [2025년 1월 1일(수)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74093&tag=&nPage=24
74144,,육지,실적,육지 출력제어 12월 실적 안내,,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74144&tag=&nPage=24
74145,,제주,실적,제주 출력제어 12월 실적 안내,,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74145&tag=&nPage=24
74314,2025-02-14,육지,전망,육지 출력제어 전망 안내[2025년 2월 14일(금)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74314&tag=&nPage=24
74322,2025-02-17,육지,전망,육지 출력제어 전망 안내[2025년 2월 17일(월)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74322&tag=&nPage=24
74332,2025-02-18,제주,전망,제주 출력제어 전망 안내 [2025년 2월 18일(화)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74332&tag=&nPage=24
74334,2025-02-18,육지,전망,육지 출력제어 전망 안내 [2025년 2월 18일(화)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74334&tag=&nPage=24
74335,2025-02-14,육지,실적,육지 출력제어 실적 안내 [2025년 2월 14일(금)],12:00,14:00,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74335&tag=&nPage=24
74341,2025-02-19,제주,전망,제주 출력제어 전망 안내 [2025년 2월 19일(수)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74341&tag=&nPage=24
74342,2025-02-17,육지,취소/미시행,육지 출력제어 실적 안내 [2025년 2월 17일(월)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74342&tag=&nPage=24
74343,2025-02-19,육지,전망,육지 출력제어 전망 안내 [2025년 2월 19일(수)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74343&tag=&nPage=23
74344,2025-02-18,제주,취소/미시행,제주 출력제어 실적 안내 [2025년 2월 18일(화)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74344&tag=&nPage=23
74359,2025-02-20,육지,전망,육지 출력제어 전망 안내 [2025년 2월 20일(목)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74359&tag=&nPage=23
74361,2025-02-19,제주,취소/미시행,제주 출력제어 실적 안내 [2025년 2월 19일(수)-출력제어 없음],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74361&tag=&nPage=23
74378,2025-02-22,육지,전망,육지 출력제어 전망 안내[2025년 2월 22일(토)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74378&tag=&nPage=23
74381,2025-02-24,육지,전망,육지 출력제어 전망 안내[2025년 2월 24일(월)],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=74381&tag=&nPage=23
